ADDRESS	CITY	DBA_fromYelp	PHONE	PRICE	REVIEW	WEB	DBA	BORO	ZIPCODE	CUISINE DESCRIPTION	INSPECTION DATE	VIOLATION DESCRIPTION	CRITICAL FLAG	SCORE	GRADE	GRADE DATE
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	03/05/2013	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	9	A	03/05/2013
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	03/05/2013	Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.	Critical	9	A	03/05/2013
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	04/09/2014	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	10	A	04/09/2014
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	04/09/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	04/09/2014
3 E 52nd St	New York	La Grenouille	2127521495	$$$$	231	la-grenouille.com	LA GRENOUILLE	MANHATTAN	10022	French	04/09/2014	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	10	A	04/09/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	07/14/2014	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	10	A	07/14/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	07/14/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	07/14/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	07/14/2014	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	10	A	07/14/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	12/01/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	7	A	12/01/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	12/01/2014	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	7	A	12/01/2014
204 E 43rd St	New York	Sushi Yasuda	2129721001	$$$$	1322	sushiyasuda.com	SUSHI YASUDA	MANHATTAN	10017	Japanese	12/01/2014	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	7	A	12/01/2014
The Equitable Bldg155 W 51st St	New York	Le Bernardin	2125541515	$$$$	1498	le-bernardin.com	LE BERNARDIN	MANHATTAN	10019	French	03/19/2013	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	3	A	03/19/2013
The Equitable Bldg155 W 51st St	New York	Le Bernardin	2125541515	$$$$	1498	le-bernardin.com	LE BERNARDIN	MANHATTAN	10019	French	04/10/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	04/10/2014
The Equitable Bldg155 W 51st St	New York	Le Bernardin	2125541515	$$$$	1498	le-bernardin.com	LE BERNARDIN	MANHATTAN	10019	French	04/10/2014	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	11	A	04/10/2014
The Equitable Bldg155 W 51st St	New York	Le Bernardin	2125541515	$$$$	1498	le-bernardin.com	LE BERNARDIN	MANHATTAN	10019	French	04/10/2014	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	11	A	04/10/2014
The Equitable Bldg155 W 51st St	New York	Le Bernardin	2125541515	$$$$	1498	le-bernardin.com	LE BERNARDIN	MANHATTAN	10019	French	10/09/2013	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	2	A	10/09/2013
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	03/08/2014	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	03/08/2014
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	03/08/2014	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	12	A	03/08/2014
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	03/08/2014	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	12	A	03/08/2014
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	03/13/2015	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	11	A	03/13/2015
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	03/13/2015	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	11	A	03/13/2015
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	03/13/2015	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	03/13/2015
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	03/26/2013	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	3	A	03/26/2013
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	09/28/2013	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	09/28/2013
178 Broadway	Brooklyn	Peter Luger Steak House	7183877400	$$$$	2902	peterluger.com	PETER LUGER STEAKHOUSE	BROOKLYN	11211	Steak	09/28/2013	Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.	Critical	10	A	09/28/2013
